index,fit-max,fit-min,fit-avg-min,fit-avg-max,fit-avg,fit-avg-median,const-max,const-min,const-avg-min,const-avg-max,const-avg,const-avg-median,m-leg,m-grid,m-align,m-reg,m-just,m-type-par,m-balance,m-ng-space,m-sem-emp,m-sem-lay,m-sem-vis,fittest-avg-fit,fittest-avg-const,fittest-avg-penalty,fittest-avg-max-fit,fittest-avg-max-const,fittest-avg-max-penalty,fittest-avg-min-fit,fittest-avg-min-const,fittest-avg-min-penalty,fittest-avg-m-leg,fittest-avg-m-grid,fittest-avg-m-align,fittest-avg-m-reg,fittest-avg-m-just,fittest-avg-m-type-par,fittest-avg-m-balance,fittest-avg-m-ng-space,fittest-avg-m-sem-emp,fittest-avg-m-sem-lay,fittest-avg-m-sem-vis
0,0.98,0.48,0.96,0.66,0.79,0.79,1,0,0.79,0,0.38,0.38,0.62,1,0,0,0,0,0,0,0.75,0.83,0,0.83,0.2,0.63,0.89,0.36,0.79,0.75,0.06,0.63,0.8,1,0,0,0,0,0,0,0.83,0.83,0
1,0.98,0.49,0.97,0.67,0.8,0.8,1,0,0.65,0,0.3,0.29,0.7,1,0,0,0,0,0,0,0.78,0.83,0,0.83,0.15,0.68,0.9,0.3,0.82,0.76,0.03,0.68,0.85,1,0,0,0,0,0,0,0.84,0.83,0
2,0.98,0.5,0.98,0.69,0.81,0.81,1,0,0.56,0,0.23,0.22,0.77,1,0,0,0,0,0,0,0.8,0.83,0,0.84,0.12,0.72,0.9,0.25,0.84,0.76,0.02,0.72,0.88,1,0,0,0,0,0,0,0.85,0.83,0
3,0.98,0.49,0.98,0.69,0.82,0.82,1,0,0.48,0,0.19,0.17,0.81,1,0,0,0,0,0,0,0.82,0.83,0,0.84,0.1,0.74,0.9,0.22,0.85,0.77,0.02,0.74,0.9,1,0,0,0,0,0,0,0.86,0.83,0
4,0.98,0.5,0.98,0.7,0.83,0.83,1,0,0.41,0,0.16,0.14,0.84,1,0,0,0,0,0,0,0.83,0.83,0,0.85,0.09,0.76,0.9,0.2,0.86,0.77,0.01,0.76,0.91,1,0,0,0,0,0,0,0.87,0.83,0
5,0.98,0.51,0.98,0.7,0.83,0.84,1,0,0.38,0,0.14,0.12,0.86,1,0,0,0,0,0,0,0.84,0.83,0,0.85,0.08,0.77,0.9,0.18,0.87,0.77,0.01,0.77,0.92,1,0,0,0,0,0,0,0.87,0.83,0
6,0.98,0.51,0.98,0.69,0.84,0.84,1,0,0.34,0,0.13,0.1,0.87,1,0,0,0,0,0,0,0.85,0.83,0,0.85,0.07,0.78,0.9,0.16,0.88,0.78,0.01,0.78,0.93,1,0,0,0,0,0,0,0.88,0.83,0
7,0.98,0.5,0.98,0.69,0.84,0.85,1,0,0.32,0,0.12,0.09,0.88,1,0,0,0,0,0,0,0.86,0.83,0,0.86,0.07,0.79,0.9,0.15,0.88,0.79,0,0.79,0.93,1,0,0,0,0,0,0,0.88,0.83,0
8,0.98,0.52,0.98,0.69,0.85,0.85,1,0,0.3,0,0.11,0.08,0.89,1,0,0,0,0,0,0,0.86,0.83,0,0.86,0.06,0.8,0.9,0.14,0.89,0.78,0,0.8,0.94,1,0,0,0,0,0,0,0.89,0.83,0
9,0.98,0.51,0.98,0.69,0.85,0.85,1,0,0.28,0,0.11,0.07,0.89,1,0,0,0,0,0,0,0.87,0.83,0,0.86,0.05,0.8,0.91,0.14,0.89,0.78,0,0.8,0.95,1,0,0,0,0,0,0,0.89,0.83,0
10,0.98,0.5,0.98,0.69,0.85,0.85,1,0,0.27,0,0.1,0.07,0.9,1,0,0,0,0,0,0,0.87,0.83,0,0.86,0.05,0.81,0.91,0.13,0.89,0.79,0,0.81,0.95,1,0,0,0,0,0,0,0.89,0.83,0
11,0.98,0.52,0.98,0.69,0.85,0.86,1,0,0.25,0,0.1,0.06,0.9,1,0,0,0,0,0,0,0.87,0.83,0,0.86,0.05,0.82,0.91,0.12,0.89,0.8,0,0.82,0.95,1,0,0,0,0,0,0,0.89,0.83,0
12,0.98,0.53,0.98,0.69,0.85,0.86,1,0,0.24,0,0.09,0.06,0.91,1,0,0,0,0,0,0,0.88,0.83,0,0.86,0.04,0.82,0.91,0.12,0.9,0.8,0,0.82,0.96,1,0,0,0,0,0,0,0.89,0.83,0
13,0.98,0.5,0.98,0.69,0.85,0.86,1,0,0.22,0,0.08,0.05,0.92,1,0,0,0,0,0,0,0.88,0.83,0,0.86,0.04,0.83,0.91,0.11,0.9,0.8,0,0.83,0.96,1,0,0,0,0,0,0,0.89,0.83,0
14,0.98,0.51,0.98,0.69,0.85,0.86,1,0,0.21,0,0.08,0.05,0.92,1,0,0,0,0,0,0,0.88,0.83,0,0.86,0.03,0.83,0.91,0.1,0.9,0.8,0,0.83,0.97,1,0,0,0,0,0,0,0.9,0.83,0
15,0.98,0.53,0.98,0.69,0.86,0.86,1,0,0.19,0,0.07,0.04,0.9299999999999999,1,0,0,0,0,0,0,0.88,0.83,0,0.87,0.03,0.84,0.91,0.1,0.9,0.8,0,0.84,0.97,1,0,0,0,0,0,0,0.9,0.83,0
16,0.98,0.5,0.98,0.69,0.86,0.86,1,0,0.18,0,0.07,0.04,0.9299999999999999,1,0,0,0,0,0,0,0.88,0.83,0,0.87,0.03,0.84,0.91,0.09,0.91,0.8,0,0.84,0.97,1,0,0,0,0,0,0,0.9,0.84,0
17,0.98,0.52,0.98,0.69,0.86,0.86,1,0,0.18,0,0.07,0.03,0.9299999999999999,1,0,0,0,0,0,0,0.88,0.83,0,0.87,0.02,0.84,0.91,0.09,0.91,0.8,0,0.84,0.98,1,0,0,0,0,0,0,0.9,0.84,0
18,0.98,0.51,0.98,0.69,0.86,0.86,1,0,0.16,0,0.06,0.03,0.94,1,0,0,0,0,0,0,0.88,0.83,0,0.87,0.02,0.85,0.91,0.08,0.91,0.8,0,0.85,0.98,1,0,0,0,0,0,0,0.9,0.84,0
19,0.98,0.49,0.98,0.69,0.86,0.86,1,0,0.16,0,0.06,0.03,0.94,1,0,0,0,0,0,0,0.88,0.83,0,0.87,0.02,0.85,0.91,0.08,0.91,0.8,0,0.85,0.98,1,0,0,0,0,0,0,0.9,0.84,0
20,0.98,0.52,0.98,0.69,0.86,0.87,1,0,0.15,0,0.06,0.02,0.94,1,0,0,0,0,0,0,0.88,0.83,0,0.87,0.02,0.85,0.91,0.07,0.91,0.8,0,0.85,0.98,1,0,0,0,0,0,0,0.9,0.84,0
21,0.98,0.49,0.98,0.69,0.86,0.87,1,0,0.14,0,0.05,0.02,0.95,1,0,0,0,0,0,0,0.88,0.84,0,0.87,0.01,0.86,0.91,0.06,0.91,0.8,0,0.86,0.99,1,0,0,0,0,0,0,0.9,0.84,0
22,0.98,0.51,0.98,0.68,0.86,0.87,1,0,0.13,0,0.05,0.02,0.95,1,0,0,0,0,0,0,0.88,0.84,0,0.87,0.01,0.86,0.91,0.06,0.91,0.8,0,0.86,0.99,1,0,0,0,0,0,0,0.9,0.84,0
23,0.98,0.5,0.98,0.68,0.86,0.87,1,0,0.13,0,0.05,0.02,0.95,1,0,0,0,0,0,0,0.88,0.84,0,0.87,0.01,0.86,0.91,0.06,0.91,0.8,0,0.86,0.99,1,0,0,0,0,0,0,0.9,0.84,0
24,0.98,0.5,0.98,0.68,0.86,0.87,1,0,0.12,0,0.05,0.01,0.95,1,0,0,0,0,0,0,0.88,0.84,0,0.87,0.01,0.86,0.92,0.05,0.91,0.8,0,0.86,0.99,1,0,0,0,0,0,0,0.9,0.84,0
25,0.98,0.5,0.98,0.68,0.86,0.87,1,0,0.12,0,0.04,0.01,0.96,1,0,0,0,0,0,0,0.88,0.84,0,0.87,0.01,0.87,0.92,0.05,0.92,0.81,0,0.87,0.99,1,0,0,0,0,0,0,0.9,0.85,0
26,0.98,0.5,0.98,0.68,0.86,0.87,1,0,0.12,0,0.04,0.01,0.96,1,0,0,0,0,0,0,0.88,0.84,0,0.87,0.01,0.87,0.92,0.04,0.92,0.81,0,0.87,0.99,1,0,0,0,0,0,0,0.9,0.85,0
